district	amt	amt_ratio	contracts	cont_ratio	avg_fundingDuration	fundingDurationRatio
2408	49177174.66	0.0426	292	0.5659	27	0.0148
408	64113.63	0.0018	3	0.0058	0	0.0
5309	1989456.68	0.0034	10	0.0194	49	0.0268
5301	4407310.83	0.0054	35	0.0678	151	0.0827
2903	17799.0	0.0017	1	0.0019	0	0.0
2902	14843.29	0.0017	4	0.0078	0	0.0
2901	3228859.89	0.0044	47	0.0911	118	0.0647
2907	-1954.62	0.0017	5	0.0097	107	0.0586
2905	151010.7	0.0019	9	0.0174	0	0.0
2904	129561.0	0.0018	2	0.0039	359	0.1967
2908	301370.39	0.002	5	0.0097	24	0.0132
3302	6532410.5	0.0072	55	0.1066	54	0.0296
3301	4139704.22	0.0052	38	0.0736	473	0.2592
1713	2760988.03	0.004	27	0.0523	264	0.1447
1711	261194.37	0.0019	5	0.0097	81	0.0444
1710	3662815.64	0.0048	47	0.0911	6	0.0033
1717	18852.3	0.0017	3	0.0058	0	0.0
1716	73485.06	0.0018	3	0.0058	0	0.0
1715	185946.79	0.0019	3	0.0058	256	0.1403
1714	23784.5	0.0017	2	0.0039	0	0.0
2301	2261378.99	0.0036	14	0.0271	141	0.0773
1718	5725.0	0.0017	1	0.0019	0	0.0
5403	22616.91	0.0017	1	0.0019	0	0.0
5402	6644.84	0.0017	2	0.0039	0	0.0
5401	2738793.29	0.004	33	0.064	119	0.0652
3709	36997.5	0.0018	3	0.0058	0	0.0
1000	2197646.79	0.0036	14	0.0271	186	0.1019
623	47764.87	0.0018	11	0.0213	0	0.0
1226	224950.0	0.0019	3	0.0058	0	0.0
1225	18115.52	0.0017	2	0.0039	0	0.0
620	13591861.91	0.013	47	0.0911	265	0.1452
1223	778214.47	0.0024	4	0.0078	0	0.0
1222	829532.0	0.0024	12	0.0233	0	0.0
625	1635874.32	0.0031	13	0.0252	42	0.023
624	11263960.56	0.0111	94	0.1822	152	0.0833
629	280449.12	0.002	9	0.0174	0	0.0
628	-54.97	0.0017	2	0.0039	0	0.0
4829	8814.69	0.0017	1	0.0019	0	0.0
4826	13405797.82	0.0129	20	0.0388	22	0.0121
4827	151781.0	0.0019	1	0.0019	1095	0.6
4824	125860.03	0.0018	27	0.0523	0	0.0
4825	2287101.15	0.0036	34	0.0659	314	0.1721
4820	24306392.8	0.0219	58	0.1124	430	0.2356
4821	679446.09	0.0023	13	0.0252	19	0.0104
1502	1517917.0	0.003	1	0.0019	1574	0.8625
1501	6659382.21	0.0073	46	0.0891	456	0.2499
652	9984593.44	0.01	72	0.1395	289	0.1584
653	3014712.03	0.0042	91	0.1764	28	0.0153
650	538758.35	0.0022	9	0.0174	0	0.0
5108	34929071.77	0.0308	149	0.2888	92	0.0504
5109	3557922.48	0.0047	12	0.0233	314	0.1721
5102	16332875.28	0.0153	111	0.2151	91	0.0499
5103	27331293.23	0.0245	96	0.186	139	0.0762
5101	391649.22	0.0021	28	0.0543	39	0.0214
5106	147005.92	0.0018	6	0.0116	0	0.0
5107	278790.06	0.002	7	0.0136	0	0.0
1227	2530655.93	0.0038	26	0.0504	552	0.3025
5105	3681690.4	0.0048	33	0.064	276	0.1512
3904	14189040.62	0.0135	46	0.0891	62	0.034
3905	73924.0	0.0018	1	0.0019	0	0.0
3907	348905.85	0.002	5	0.0097	0	0.0
3901	13454614.34	0.0129	10	0.0194	0	0.0
3902	61425.66	0.0018	16	0.031	0	0.0
3903	2790559.26	0.004	64	0.124	205	0.1123
3908	170061.42	0.0019	7	0.0136	0	0.0
3909	1268044.54	0.0028	46	0.0891	5	0.0027
4001	5678022.97	0.0064	72	0.1395	6	0.0033
4003	286548.17	0.002	4	0.0078	396	0.217
4004	1168214.41	0.0027	17	0.0329	241	0.1321
4005	-55627.79	0.0017	1	0.0019	0	0.0
200	30606296.35	0.0272	72	0.1395	186	0.1019
3621	7788.0	0.0017	1	0.0019	0	0.0
3620	510950.81	0.0022	11	0.0213	178	0.0975
3623	2302930.54	0.0036	36	0.0698	342	0.1874
3622	56242.0	0.0018	3	0.0058	0	0.0
3625	14954393.14	0.0142	41	0.0795	102	0.0559
3624	787397.85	0.0024	20	0.0388	18	0.0099
3627	205090.86	0.0019	9	0.0174	121	0.0663
3626	478628.95	0.0021	19	0.0368	167	0.0915
1049	135971.0	0.0018	1	0.0019	1825	1.0
3711	66359.94	0.0018	9	0.0174	0	0.0
3710	45775.3	0.0018	4	0.0078	0	0.0
3713	349587.48	0.002	6	0.0116	197	0.1079
3712	130575.78	0.0018	5	0.0097	0	0.0
5508	-9.95	0.0017	1	0.0019	0	0.0
5506	36874.85	0.0018	1	0.0019	0	0.0
5504	191293.99	0.0019	7	0.0136	421	0.2307
5505	5505615.71	0.0063	4	0.0078	0	0.0
5502	7145960.08	0.0077	44	0.0853	293	0.1605
5501	511494.51	0.0022	3	0.0058	0	0.0
4901	88280440.06	0.0751	11	0.0213	75	0.0411
4903	501548.81	0.0021	7	0.0136	365	0.2
4902	2029225.77	0.0034	18	0.0349	246	0.1348
4904	24892.1	0.0017	4	0.0078	0	0.0
5104	2664485.53	0.0039	17	0.0329	10	0.0055
1312	23319.3	0.0017	4	0.0078	0	0.0
1311	-378389.61	0.0014	17	0.0329	0	0.0
1310	1212484.64	0.0027	11	0.0213	380	0.2082
2705	2699247.87	0.004	25	0.0484	412	0.2258
2704	1706926.72	0.0031	14	0.0271	0	0.0
2707	34387.31	0.0018	4	0.0078	0	0.0
2703	719105.1	0.0023	38	0.0736	0	0.0
2702	291407.61	0.002	21	0.0407	0	0.0
3401	14362409.81	0.0137	11	0.0213	36	0.0197
