vendorName,streetAddress,ZIPCode,city,state,countryCode,congressionalDistrictCode,annualRevenue,numberOfEmployees,PIID,modNumber,transactionNumber,obligatedAmount,majorProgramCode,mainAccountCode,placeOfPerformanceZIPCode,placeOfPerformanceCongressionalDistrict,placeOfPerformanceCountryCode,placeOfPerformanceStateCode,signedDate,effectiveDate,currentCompletionDate,ultimateCompletionDate,fundedThroughDate,principalNAICSCode,countryOfOrigin,placeOfManufacture
Marketech International Incorporated,192 Otto St,983681924,Port Townsend,WA,USA,6,2400000,13,NNG14PC12W,0,0,3134.4,BANKCARD,120,983681924,6,USA,WA,2013-10-01 00:00:00,2013-10-01 00:00:00,2013-10-30 00:00:00,2013-10-30 00:00:00,,339999,USA,D
"Airgas Usa, Llc",3737 Worsham Ave,908081774,Long Beach,CA,USA,47,2249999872,1475,NNA14PC36W,0,0,6459.82,,122,940350001,18,USA,CA,2013-10-01 00:00:00,2013-10-01 00:00:00,2014-02-26 00:00:00,2014-02-26 00:00:00,,324110,USA,D
Export 220volt Incorporated,5810 Hillcroft St,770369803,Houston,TX,USA,7,3000000,2,NNJ13PC11189960,0,0,7765,,115,770369803,7,USA,TX,2013-10-16 00:00:00,2013-10-16 00:00:00,2013-10-28 00:00:00,2013-10-28 00:00:00,,335210,USA,D
Science Applications International Corporation,1710 Saic Dr Ste B,221023701,Mc Lean,VA,USA,11,8999999488,40000,NNC14TA06T,0,0,15182,,126,221023701,11,USA,VA,2013-10-17 00:00:00,2013-10-17 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,,541620,USA,C
Alion Science And Technology Corporation,1000 Burr Ridge Pkwy Ste 202,605270849,Burr Ridge,IL,USA,11,811086976,3000,NNC13VF09P,1,0,-125,,122,605270849,11,USA,IL,2013-10-18 00:00:00,2013-10-18 00:00:00,2013-08-09 00:00:00,2013-08-09 00:00:00,,541990,USA,C
Aerotech Incorporated,101 Zeta Dr,152382811,Pittsburgh,PA,USA,12,1,325,NNC13VD42P,1,0,-61,,120,152382811,12,USA,PA,2013-10-18 00:00:00,2013-10-18 00:00:00,2013-06-04 00:00:00,2013-06-04 00:00:00,,335312,USA,D
Leoni Fiber Optics Incorporated,209 Bulifants Blvd,231885729,Williamsburg,VA,USA,1,3825679104,56000,NNC13VC48P,1,0,-21,,126,231885729,1,USA,VA,2013-10-18 00:00:00,2013-10-18 00:00:00,2013-05-15 00:00:00,2013-05-15 00:00:00,,335921,USA,D
Sigma Space Corporation,4801 Forbes Blvd,207064303,Lanham,MD,USA,4,13000000,115,NNG09HP18C,82,0,26451,,120,207064363,4,USA,MD,2013-10-18 00:00:00,2013-10-18 00:00:00,2014-07-31 00:00:00,2014-07-31 00:00:00,2014-02-01 00:00:00,541712,USA,C
Al Razaq Computing Services,6001 Savoy Dr Ste 505,770363365,Houston,TX,USA,7,8400000,97,NNM11AA40T,25,0,64774,,124,358120001,5,USA,AL,2013-10-18 00:00:00,2013-10-18 00:00:00,2014-04-30 00:00:00,2014-04-30 00:00:00,2013-10-25 00:00:00,561210,USA,C
B. W. Rogers Company,7900 Empire Parkway,440562144,Macedonia,OH,USA,14,15,231,NNC11VJ53P,1,0,-462.17,,122,440562144,14,USA,OH,2013-10-21 00:00:00,2013-10-21 00:00:00,2011-12-12 00:00:00,2011-12-12 00:00:00,,423840,USA,D
Gulfstream Aerospace Corporation (georgia),500 Gulfstream Rd,314089643,Savannah,GA,USA,1,5149009920,11537,NND13CD83W,1,0,-26.2,,126,935230273,23,USA,CA,2013-10-21 00:00:00,2013-09-09 00:00:00,2013-09-16 00:00:00,2013-09-16 00:00:00,,336411,USA,D
Silvan Industries Incorporated,2121 Cleveland Ave,541433711,Marinette,WI,USA,8,100000000,700,NNC12VG18P,1,0,-9.95,,126,541433711,8,USA,WI,2013-10-21 00:00:00,2013-10-21 00:00:00,2012-10-12 00:00:00,2012-10-12 00:00:00,,332420,USA,D
Transcat Incorporated,35 Vantage Pt Dr,146241142,Rochester,NY,USA,25,5,324,NNC13QA98P,1,0,46.56,,124,146241142,25,USA,NY,2013-10-21 00:00:00,2013-10-21 00:00:00,2013-11-18 00:00:00,2013-11-21 00:00:00,,425110,USA,D
The Criterion Tool And Die Co,5349 W 161st St (brook Park),441421609,Cleveland,OH,USA,9,2500293,22,NNC13MF13P,1,0,295.6,,122,441421609,9,USA,OH,2013-10-21 00:00:00,2013-10-21 00:00:00,2013-08-23 00:00:00,2013-08-23 00:00:00,,332710,USA,D
Western Industrial Machining Incorporated,137 Hanover Pike,210742040,Hampstead,MD,USA,1,2,20,NNG10LA44D,968,0,1716,,120,210742040,1,USA,MD,2013-10-21 00:00:00,2013-10-21 00:00:00,2014-09-28 00:00:00,2014-09-28 00:00:00,,332710,USA,C
M&d Machine Incorporation,717 - C Hammonds Ferry Rd,210901319,Linthicum Heights,MD,USA,2,9300000,31,NNG10LA77D,76,0,5531,,120,210901319,2,USA,MD,2013-10-21 00:00:00,2013-10-21 00:00:00,2014-08-23 00:00:00,2014-08-23 00:00:00,,332710,USA,C
Express Sales Incorporated,114 Mccormick Dr Nw,358111822,Huntsville,AL,USA,5,6000000,2,NNM14AA22P,0,0,7513.8,,122,358111822,5,USA,AL,2013-10-21 00:00:00,2013-10-21 00:00:00,2013-11-18 00:00:00,2013-11-18 00:00:00,,423830,USA,D
Vantage Systems Incorporated,10210 Greenbelt Rd Ste 400,207064358,Lanham,MD,USA,4,9974478,135,NNG12PJ03C,23,0,242245.7,MMS,120,207064358,4,USA,MD,2013-10-21 00:00:00,2013-10-21 00:00:00,2017-03-14 00:00:00,2017-03-14 00:00:00,,541330,USA,C
Regents Of The University Of Minnesota,200 Oak St Se,554552009,Minneapolis,MN,USA,5,450000000,20000,NNX10AO12G,3,0,-1928.87,GPM IN A CHANGING CLIMATE: STATISTICAL DOWNSCALING OF PRECIPITATION WITH EMPHASIS ON EXTREMES FOR HA,120,554552009,5,USA,MN,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
A&n Electric Cooperative,21275 Cooperative Way,234410290,Tasley,VA,USA,2,70000000,64,NNG10WA20C,36,0,-831.83,,120,233375000,2,USA,VA,2013-10-22 00:00:00,2013-10-22 00:00:00,2015-10-31 00:00:00,2015-10-31 00:00:00,2013-10-31 00:00:00,221122,USA,C
Washington University,1 Brookings Dr,631304862,Saint Louis,MO,USA,1,10393911296,12445,NNX09AC63G,5,0,-363.28,,120,631304862,1,USA,MO,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
University Of Maryland,3112 Lee Building,207425100,College Park,MD,USA,5,2342248704,12254,NNX10AN47G,2,0,-329.38,LAND PORTAL INTERNET SUPPORT II (LAPIS II),120,207425100,5,USA,MD,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
"University Of California, Santa Cruz",1156 High St,950641077,Santa Cruz,CA,USA,20,1064569472,30000,NNX08AF17A,4,0,-225.17,,114,950641077,20,USA,CA,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
University Of Alaska Fairbanks,Administrative Services Ctr Rm 109,997757880,Fairbanks,AK,USA,0,200000000,4000,NNX09AN42H,4,0,-72.94,A FELLOWSHIP:  CHARACTERIZING WATER TRACKS IN HEADWATER DRAINAGE BASINS FO THE ALASKAN ARCTIC,120,997757880,0,USA,AK,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,,
Van Brakel Electronics Incorporated,222 W Lone Cactus Dr,850272903,Phoenix,AZ,USA,6,8,9,NND13AB67P,2,0,-55,,120,850272903,6,USA,AZ,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-05-16 00:00:00,2013-05-16 00:00:00,,334417,USA,D
University Of Maryland,3112 Lee Building,207425100,College Park,MD,USA,5,2342248704,12254,NNX08AM87G,5,0,-46.89,,120,207425100,5,USA,MD,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
Ohio State University Research Foundation,1960 Kenny Rd,432101016,Columbus,OH,USA,3,375000000,94,NNX08AQ08G,5,0,-44.93,,120,432101016,3,USA,OH,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
Villanova University In The State Of Pennsylvania,800 Lancaster Ave,190851603,Villanova,PA,USA,7,322788320,2450,NNX09AH28G,4,0,-17.56,ULTRA-HIGH PRECISION PHOTOMETRY OF RIGEL: AN ASTEROSEISMIC STUDY OF MICRO-VARIABILITY OF THE NEAREST,120,190851603,7,USA,PA,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,,
Iowa State University Equities Corporation,1350 Beardshear Hall,500112025,Ames,IA,USA,4,2342290,8,NNX07AM15A,8,0,-6.24,,126,500112025,4,USA,IA,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
Duke University,"334 N Building Research Dr, Duke University",277089900,Durham,NC,USA,1,513000000,12208,NNX09AN76G,5,0,-1.93,IDENTIFYING CONTROLS AND PREDICTABILITY OF EXTREME DROUGHT PERSISTENCE FROM REMOTE SENSING DATA,120,277054677,1,USA,NC,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
President & Fellows Of Harvard College,1350 Mass Ave Ste 600,21383846,Cambridge,MA,USA,5,2000000000,14000,NNX09AJ50A,4,0,-1.47,,120,21383845,5,USA,MA,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-22 00:00:00,,,
Coordinated Defense Supply Systems Incorporated,44570 Morley Dr,480361358,Clinton Township,MI,USA,9,16000000,13,NNM13AB84P,2,0,1152.3,,122,480361358,9,USA,MI,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-08-20 00:00:00,2013-08-20 00:00:00,,331210,USA,D
"Bg Machinery Services, Llc",66 Lola St,68251341,Fairfield,CT,USA,4,75000,1,NNM13AE80P,2,0,3892.13,,122,68251341,4,USA,CT,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-08-15 00:00:00,2013-08-15 00:00:00,,541990,USA,C
Dynamic Materials Corporation,1138 Industrial Park Dr,15465,Mount Braddock,PA,USA,,95000000,373,NNM13AF06P,0,0,9224,,122,154651008,9,USA,PA,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-12-20 00:00:00,2013-12-20 00:00:00,,332999,USA,D
Gorman Machine Corp,122 E Grove St,23462747,Middleboro,MA,USA,9,1000000,10,NNC14VB02P,0,0,13145,,131,23460512,9,USA,MA,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-11-19 00:00:00,2013-11-19 00:00:00,,334416,USA,D
Mansfield Oil Company Of Gainesville Incorporated,1025 Airport Pkwy Sw,305016833,Gainesville,GA,USA,9,2033333376,308,NNM14AA03D,0,0,26827.72,,122,305016833,9,USA,GA,2013-10-22 00:00:00,2013-10-22 00:00:00,2013-10-29 00:00:00,2013-10-29 00:00:00,,424720,USA,D
Tsi Incorporated,500 Cardigan Rd,551263903,Saint Paul,MN,USA,4,195468000,897,NNM14AA23P,0,0,147758.5,,124,551263903,4,USA,MN,2013-10-22 00:00:00,2013-10-22 00:00:00,2014-01-07 00:00:00,2014-01-07 00:00:00,,334513,USA,D
"Chenega Security & Support Solutions, Llc",19980 Highland Vista Dr Ste 100,201474189,Ashburn,VA,USA,10,396320,2,NNJ12JB86C,33,0,1659162.42,,122,770583607,36,USA,TX,2013-10-22 00:00:00,2013-10-22 00:00:00,2014-09-30 00:00:00,2017-09-30 00:00:00,,561612,USA,C
"Csc Applied Technologies, Llc",6500 West Freeway Ste 600,761162118,Fort Worth,TX,USA,12,14,77000,NNJ08JA02C,406,0,4327739,,122,770583607,36,USA,TX,2013-10-22 00:00:00,2013-10-22 00:00:00,2015-02-28 00:00:00,2018-02-28 00:00:00,,561210,USA,C
Honeywell Technology Solutions Incorporated,"2525 Bay Area Blvd., Suite 200",770581530,Houston,TX,USA,36,6000000000,5409,NAS999075,1013,0,-74736.5,,115,770581530,36,USA,TX,2013-10-23 00:00:00,2013-10-23 00:00:00,2022-02-17 00:00:00,2022-02-17 00:00:00,,541330,USA,
Lamar Media Corporation,5321 Corporate Blvd,708082567,Baton Rouge,LA,USA,6,1020000000,3000,NNG13HA37P,1,0,-19235,,120,708082567,6,USA,LA,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-04-28 00:00:00,2013-04-28 00:00:00,,541850,USA,C
California Institute Of Technology,4800 Oak Grove Dr,911098001,Pasadena,CA,USA,27,1600000000,4800,NMO711018,7,0,-6572.51,,115,911250600,27,USA,CA,2013-10-23 00:00:00,2013-10-23 00:00:00,2011-09-25 00:00:00,2011-09-25 00:00:00,,541710,,
Garvey Spacecraft Corporation,389 Haines Ave,908141841,Long Beach,CA,USA,47,375769,3,NNK11LB56P,6,0,-2393.56,LSP,115,908141841,47,USA,CA,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-10-31 00:00:00,2013-10-31 00:00:00,,336414,USA,C
"Alutiiq Pacific, Llc",3909 Arctic Blvd Ste 400,995035710,Anchorage,AK,USA,0,8150661,272,NNG13AZ05C,12,0,-978.53,,120,207710003,5,USA,MD,2013-10-23 00:00:00,2013-10-23 00:00:00,2014-09-30 00:00:00,2018-03-31 00:00:00,2013-12-31 00:00:00,561612,USA,C
Cs Clean Systems Incorporated,3155 Kearney St Ste 160,945383120,Fremont,CA,USA,17,9000000,47,NNC13MF15P,1,0,-43.75,,122,945383120,17,USA,CA,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-08-02 00:00:00,2013-08-02 00:00:00,,333413,USA,D
Samson Controls Incorporated,4111 Cedar Blvd,775238588,Baytown,TX,USA,36,482000000,3400,NNK13EA53P,1,0,-26,,124,775238588,36,USA,TX,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-07-02 00:00:00,2013-07-02 00:00:00,,332911,USA,D
E. J. Enterprises Incorporated,7280 Baltimore Annapolis,210612700,Glen Burnie,MD,USA,3,11000000,48,NNG10RA00D,1036,0,585,,120,210612700,3,USA,MD,2013-10-23 00:00:00,2013-10-23 00:00:00,2014-12-07 00:00:00,2014-12-07 00:00:00,,423510,USA,C
Peninsula Mediation Center Incorporated,217 Mclaws Cir Ste 1,231855649,Williamsburg,VA,USA,1,203040,2,NNG14VA01D,0,0,932.25,,122,207710003,5,USA,MD,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-10-31 00:00:00,2013-10-31 00:00:00,,541611,USA,C
Ch2m Hill Constructors Incorporated,9189 S Jamaica St,801125946,Englewood,CO,USA,4,5422800896,19020,NNM14AA30D,0,0,3767.6,MSFC LOGISTICS SUPPORT SERVICES (MLSS),122,801125946,4,USA,CO,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-12-13 00:00:00,2013-12-13 00:00:00,,561210,USA,D
Tecma Incorporated,1812 Silica Ave,958153431,Sacramento,CA,USA,6,250000,4,NNC14FA02P,0,0,4283.8,SPILL TRAY CANISTER HARDWARE,124,958153431,6,USA,CA,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-11-08 00:00:00,2013-11-08 00:00:00,,332710,USA,D
Concept - Laser Gmbh,An Der Zeil 8,96215,Lichtenfels,BAYERN,DEU,,1250000000,39,NNM12AA51C,1,0,17283.38,,124,358120001,5,USA,AL,2013-10-23 00:00:00,2013-10-23 00:00:00,2013-09-30 00:00:00,2013-09-30 00:00:00,,334510,DEU,J
Digital Management Incorporated,6550 Rock Spring Dr 7th Floor,208171124,Bethesda,MD,USA,8,11440000,350,NNH13CH49T,4,0,157292.46,,122,205460001,0,USA,DC,2013-10-23 00:00:00,2013-10-23 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2013-12-31 00:00:00,541512,USA,C
Purdue University,401 South Grant St,479072024,West Lafayette,IN,USA,4,3567347,15500,NNX11AI59A,4,0,157774,AN EXPERIMENTAL INVESTIGATION OF THE FLOW PHYSICS ASSOCIATED WITH END WALL LOSSES AND LARGE ROTOR TI,126,479072024,4,USA,IN,2013-10-23 00:00:00,2013-10-23 00:00:00,2014-06-16 00:00:00,2014-06-16 00:00:00,2014-06-16 00:00:00,,,
Honeywell Technology Solutions Incorporated,"2525 Bay Area Blvd., Suite 200",770581530,Houston,TX,USA,36,6000000000,5409,NAS999075,1014,0,298946,,115,770581530,36,USA,TX,2013-10-23 00:00:00,2013-10-23 00:00:00,2022-02-17 00:00:00,2022-02-17 00:00:00,,541330,USA,
"Anadarko Industries, Llc",17625 El Camino Real Ste 410,770583085,Houston,TX,USA,36,24916476,156,NNJ09JA01C,130,0,321597,,122,770583607,36,USA,TX,2013-10-23 00:00:00,2013-10-23 00:00:00,2014-06-30 00:00:00,2014-06-30 00:00:00,2013-10-28 00:00:00,541330,USA,C
"Space Systems/loral, Llc",3825 Fabian Way,943034604,Palo Alto,CA,USA,18,1008700032,2500,NNG12VN00C,5,0,1253653,LCRD,131,943034604,18,USA,CA,2013-10-23 00:00:00,2013-10-23 00:00:00,2014-12-31 00:00:00,2014-12-31 00:00:00,,541712,USA,C
Lockheed Martin Corporation,12257 State Highway,801270000,Littleton,CO,USA,,28000000000,190000,NNJ06TA25C,229,0,1.65E8,,124,801258503,2,USA,CO,2013-10-23 00:00:00,2013-10-23 00:00:00,2014-09-07 00:00:00,2018-09-07 00:00:00,2013-12-20 00:00:00,541710,USA,C
Science Applications International Corporation (saic),10260 Campus Point Dr,921211522,San Diego,CA,USA,52,7200000000,43000,NNJ06JE86C,218,0,-347254,,115,770583607,36,USA,TX,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-10-31 00:00:00,2013-10-31 00:00:00,,541330,USA,C
Adnet Systems Incorporated,164 Rollins Ave Ste 303,208524038,Rockville,MD,USA,8,51564064,260,NNG12PL17C,33,0,-33966,SESDA III,120,207710003,5,USA,MD,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2017-09-30 00:00:00,2014-02-03 00:00:00,541712,USA,C
University Of Nebraska,303 Administration Bldg,685880000,Lincoln,NE,USA,,400000000,5000,NNX09AL92G,6,0,-29462.2,,128,685880430,1,USA,NE,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-10-24 00:00:00,,,,
Relli Technology Incorporated,1200 S Rogers Cir Ste 2,334875703,Boca Raton,FL,USA,22,35000000,81,NND13CD93W,1,0,-4387.5,,126,935230273,23,USA,CA,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-09-27 00:00:00,2013-09-27 00:00:00,,336413,USA,D
Geosyntec Consultants Incorporated,"900 Broken Sound Pkwy Nw, Ste 200",334873513,Boca Raton,FL,USA,22,97000000,550,NNK09CA67D,8,0,-3631.5,,130,328990101,8,USA,FL,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-09-30 00:00:00,2013-09-30 00:00:00,,562910,USA,C
George Mason University,4400 University Dr,220304422,Fairfax,VA,USA,11,637000000,5100,NNX09AJ76G,4,0,-6.22,DETERMINATION OF THE CAUSES OF OBSERVED NEUTRAL DENSITY ENHANCEMENTS IN THE AURORAL CUSP,120,220304422,11,USA,VA,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-10-24 00:00:00,,,
Air Services Incorporated,814 W Diamond Ave Ste 205,208781416,Gaithersburg,MD,USA,6,1000000,20,NNG09AZ11B,49,0,1921,,122,207710003,5,USA,MD,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-01-25 00:00:00,2014-01-25 00:00:00,,562910,USA,C
"Cox Communications Hampton Roads, Llc",1341 Crossways Blvd,233202897,Chesapeake,VA,USA,4,8665928704,21323,NNL14AA04P,0,0,6611.28,,122,233202897,4,USA,VA,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,,517110,USA,C
Rv-elektroniikka Oy,Veromiehentie 14,1510,Vantaa,,FIN,,200000,2,NNG14LM00P,0,0,7855,,131,,,FIN,,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-02-24 00:00:00,2014-02-24 00:00:00,,334515,FIN,H
"Sage Energy Trading, Llc",7645 E 63rd St Ste 201,741331249,Tulsa,OK,USA,1,30657584,2,NNS12AA01C,47,0,25831.58,,122,741331249,1,USA,OK,2013-10-24 00:00:00,2013-10-24 00:00:00,2016-09-30 00:00:00,2016-09-30 00:00:00,2013-10-31 00:00:00,221210,USA,D
Digital Management Incorporated,6550 Rock Spring Dr 7th Floor,208171124,Bethesda,MD,USA,8,11440000,350,NNH12CG23T,6,0,34393.91,,122,205460001,0,USA,DC,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,,541512,USA,C
Southeast Service Co,490 Allison Ave,327507544,Longwood,FL,USA,7,150000,2,NNK14MA05P,0,0,38811,,115,327507544,7,USA,FL,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-03-10 00:00:00,2014-03-10 00:00:00,,332912,USA,D
Purdue University,401 South Grant St,479072024,West Lafayette,IN,USA,4,3567347,15500,NNX12AL49G,4,0,63213,AN ADVANCED LEARNING FRAMEWORK FOR HIGH DIMENSIONAL MULTI-SENSOR REMOTE SENSING DATA,120,479072024,4,USA,IN,2013-10-24 00:00:00,2013-10-24 00:00:00,2015-07-31 00:00:00,2015-07-31 00:00:00,2015-07-31 00:00:00,,,
Crockett Facilities Services Incorporated,4901 Telsa Dr Ste L,207154408,Bowie,MD,USA,5,6470192,95,NNH11CD02C,6,0,65436,,122,205460005,0,USA,DC,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2016-03-31 00:00:00,2013-10-24 00:00:00,238220,USA,C
Bellsouth Telecommunications Incorporated,2180 Lake Blvd,303196004,Atlanta,GA,USA,6,118929000,309050,NNS14AA04T,1,0,69788.89,,122,395296000,4,USA,MS,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2013-11-15 00:00:00,517110,USA,C
"A2 Research, Jv",1021 Old Monrovia Rd,358063505,Huntsville,AL,USA,5,100000,1,NNS10AA47C,112,0,92565.64,,122,395296000,4,USA,MS,2013-10-24 00:00:00,2013-10-24 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,2013-10-25 00:00:00,541380,USA,C
California Institute Of Technology,4800 Oak Grove Dr,911098001,Pasadena,CA,USA,27,1724999936,5000,NNN13D076T,9,0,121716,,120,911098099,27,USA,CA,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,541712,USA,C
General Dynamics Information Technology Incorporated,3211 Jermantown Rd,220302844,Fairfax,VA,USA,11,1200000000,9400,NNJ14JM13T,0,0,125817,,115,220302844,11,USA,VA,2013-10-24 00:00:00,2013-10-24 00:00:00,2016-01-31 00:00:00,2016-01-31 00:00:00,,443120,USA,C
Advanced Control Concepts Incorporated,1502 N 9th Ave,325035520,Pensacola,FL,USA,1,3760113,25,NNS13AA64T,1,0,132916.67,,122,395296000,4,USA,MS,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2018-09-30 00:00:00,2014-09-30 00:00:00,336992,USA,C
California Institute Of Technology,4800 Oak Grove Dr,911098001,Pasadena,CA,USA,27,1724999936,5000,NNN13D213T,5,0,145753,,130,911098099,27,USA,CA,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,541712,USA,C
Virginia Natural Gas Incorporated,5100 E  Virginia Beach Blv,23502,Norfolk,VA,USA,,0,0,NNL08AG02P,43,0,172615,,122,235023217,3,USA,VA,2013-10-24 00:00:00,2013-10-24 00:00:00,2015-07-12 00:00:00,2015-07-12 00:00:00,,221210,USA,C
Pae Applied Technologies Llc,6500 West Freeway Ste 600,761162118,Fort Worth,TX,USA,12,14,77000,NNJ08JA02C,407,0,181665,,122,770583607,36,USA,TX,2013-10-24 00:00:00,2013-10-24 00:00:00,2015-02-28 00:00:00,2018-02-28 00:00:00,,561210,USA,C
Lockheed Martin Services Incorporated,595 Gemini Ave,770582753,Houston,TX,USA,36,41899999232,140000,NNS10AA46C,102,0,182266.9,,130,395296000,4,USA,MS,2013-10-24 00:00:00,2013-10-24 00:00:00,2016-03-31 00:00:00,2016-03-31 00:00:00,2013-11-15 00:00:00,541712,USA,C
The Charles Stark Draper Laboratory Incorporated,555 Technology Sq,21393539,Cambridge,MA,USA,7,448525856,1339,NNX12AH81G,4,0,214971,EPOS FOR COORDINATION OF ASYNCHRONOUS SENSOR WEBS,120,21393539,7,USA,MA,2013-10-24 00:00:00,2013-10-24 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,,,
Science Applications International Corporation,1710 Saic Drive,221023703,Mclean,VA,USA,,8999999488,44000,NNX12AA77T,7,0,239261,NASA'S ENTERPRISE APPLICATION SERVICE TECHNOLOGIES (EAST),4546,358063200,5,USA,AL,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-03-31 00:00:00,2014-03-31 00:00:00,2013-12-12 00:00:00,541512,USA,C
Bastion Technologies Incorporated,17625 El Camino Real Ste 330,770583075,Houston,TX,USA,36,50000000,530,NNM07AA74C,117,0,332225.22,,130,358120001,5,USA,AL,2013-10-24 00:00:00,2013-10-24 00:00:00,2016-01-31 00:00:00,2017-01-31 00:00:00,2014-01-10 00:00:00,541710,USA,C
University Of Colorado,914 Broadway St,803090001,Boulder,CO,USA,,500000000,3333,NNX08AC14G,20,0,439816,,120,803031058,2,USA,CO,2013-10-24 00:00:00,2013-10-24 00:00:00,2013-12-31 00:00:00,2013-12-31 00:00:00,2013-12-31 00:00:00,,,
Native Resource Development Company Incorporated,51 Jemez Dam Rd Ste 110,870045986,Bernalillo,NM,USA,3,8100000,285,NNJ12JA02C,36,0,656179.84,CUSTODIAL SUPPORT SERVICES CONTRACT,122,770583607,36,USA,TX,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-09-30 00:00:00,2016-09-30 00:00:00,2013-11-30 00:00:00,561720,USA,C
Boeing,5301 Bolsa Ave,926472048,Huntington Beach,CA,USA,48,60500000768,159000,NNL13AC06T,2,0,1742633,"STRUCTURES, MATERIALS, AERODYNAMICS, AEROTHERMODYNAMICS, AND ACOUSTICS FOR AEROSPACE VEHICLES ~ SMAA",126,926472048,48,USA,CA,2013-10-24 00:00:00,2013-10-24 00:00:00,2014-01-31 00:00:00,2014-01-31 00:00:00,,541712,USA,C
A-p-t Research Incorporated,4950 Research Dr,358055906,Huntsville,AL,USA,5,12,85,NNK12OE12C,22,0,-454316.87,SAFETY AND MISSION ASSURANCE SUPPORT SERVICES II (S-MASS II),115,328990101,8,USA,FL,2013-10-25 00:00:00,2013-10-25 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2013-10-25 00:00:00,541330,USA,C
Ares Technical Services Corporation,1440 Chapin Ave Ste 390,940104058,Burlingame,CA,USA,14,106000000,677,NNG12CR32C,62,0,-76487.5,,122,207710003,5,USA,MD,2013-10-25 00:00:00,2013-10-25 00:00:00,2017-05-31 00:00:00,2017-05-31 00:00:00,2013-12-26 00:00:00,541712,USA,C
